CL:0000000	cell
UBERON:0011859	internal acoustic meatus
UBERON:0011860	collection of collagen fibrils
UBERON:0011861	aorta collagen fibril
UBERON:0011862	pulmonary collagen fibril
UBERON:0011863	bone collagen fibril
UBERON:0011864	tendon collagen fibril
UBERON:0011865	corneal stroma collagen fibril
UBERON:0011866	condylar joint
UBERON:0011867	extensor carpi radialis muscle
UBERON:0011868	midcarpal joint
UBERON:0011869	pisiform joint
UBERON:0011870	pisotriquetral joint
UBERON:0011871	nasomaxillary suture
UBERON:0011873	synarthrosis
UBERON:0011874	amphiarthrosis
UBERON:0011875	ligament of sternoclavicular joint
UBERON:0011876	body of tongue
UBERON:0011877	margin of tongue
UBERON:0011878	muscle layer of esophagus
UBERON:0011879	mesorchium
UBERON:0011892	anterior uvea
UBERON:0011893	endoneurial fluid
UBERON:0011894	lumen of vagina
UBERON:0011895	endomysium
UBERON:0011896	smooth muscle endomysium
UBERON:0011897	cardiac endomysium
UBERON:0011898	skeletal muscle endomysium
UBERON:0011899	epimysium
UBERON:0011900	perimysium
UBERON:0011901	hair matrix
UBERON:0011903	gizzard smooth muscle
UBERON:0011904	gastrolith
UBERON:0011905	plantaris
UBERON:0011906	muscle head
UBERON:0011907	gastrocnemius medialis
UBERON:0011908	gastrocnemius lateralis
UBERON:0011909	gastrocnemius internus
UBERON:0011910	gastrocnemius externus
UBERON:0011915	cerebellar glomerulus
UBERON:0011917	thalamic glomerulus
UBERON:0011918	line of Schwalbe
UBERON:0011919	yolk sac blood island
UBERON:0011921	connecting stalk blood islands
UBERON:0011922	cochlear basement membrane
UBERON:0011924	postganglionic autonomic fiber
UBERON:0011925	preganglionic autonomic fiber
UBERON:0011926	postganglionic sympathetic fiber
UBERON:0011927	preganglionic sympathetic fiber
UBERON:0011929	postganglionic parasympathetic fiber
UBERON:0011930	preganglionic parasympathetic fiber
UBERON:0011931	nasal hair
UBERON:0011932	pilosebaceous unit
UBERON:0011933	vibrissa unit
UBERON:0011936	vibrissa hair bulb
UBERON:0011937	vibrissa root sheath
UBERON:0011938	vibrissa inner root sheath
UBERON:0011939	vibrissa outer root sheath
UBERON:0011940	arrector pili muscle of vibrissa
UBERON:0011941	lateral angle of scapula
UBERON:0011944	subintestinal vein
UBERON:0011945	luminal layer of epithelium
UBERON:0011946	subluminal layer of epithelium
UBERON:0011947	ureter luminal urothelium
UBERON:0011948	ureter subluminal urothelium
UBERON:0011949	endometrium luminal epithelium
UBERON:0011950	mammary gland luminal epithelium
UBERON:0011951	prostate luminal epithelium
UBERON:0011952	non-glandular epithelium
UBERON:0011953	stomach glandular region
UBERON:0011954	stomach non-glandular region
UBERON:0011955	left hepatic vein
UBERON:0011956	right hepatic vein
UBERON:0011957	middle hepatic vein
UBERON:0011958	acetabular labrum
UBERON:0011959	glenoid labrum of scapula
UBERON:0011960	articular capsule of glenohumeral joint
UBERON:0011961	articular capsule of hip joint
UBERON:0011962	transverse tarsal joint
UBERON:0011963	talocalcaneonavicular joint
UBERON:0011964	calcaneocuboid joint
UBERON:0011965	saddle joint
UBERON:0011966	manubriosternal joint
UBERON:0011967	costotransverse joint
UBERON:0011968	radio-carpal joint
UBERON:0011969	mesotarsal joint
UBERON:0011970	talofibular ligament
UBERON:0011971	calcaneofibular ligament
UBERON:0011972	medial ligament of ankle joint
UBERON:0011973	epiphysis of phalanx of pes
UBERON:0011974	epiphysis of proximal phalanx of pes
UBERON:0011975	epiphysis of middle phalanx of pes
UBERON:0011976	epiphysis of distal phalanx of pes
UBERON:0011977	epiphysis of proximal phalanx of manus
UBERON:0011978	epiphysis of middle phalanx of manus
UBERON:0011979	epiphysis of distal phalanx of manus
UBERON:0011980	crurotarsal joint
UBERON:0011981	manual digit 6
UBERON:0011982	manual digit 7
UBERON:0011983	manual digit 8
UBERON:0011984	pedal digit 6
UBERON:0011985	infraorbital sinus
UBERON:0011986	mucosa of infraorbital sinus
UBERON:0011996	pharyngeal adductor
UBERON:0011997	coelom
UBERON:0012054	myocoele
UBERON:0012055	left lung lower lobe bronchiole
UBERON:0012056	left lung upper lobe bronchiole
UBERON:0012059	right lung lower lobe bronchiole
UBERON:0012063	lobar bronchus of right lung middle lobe
UBERON:0012065	lobar bronchus of left lung upper lobe
UBERON:0012066	lobar bronchus of left lung lower lobe
UBERON:0012067	primary bronchiole
UBERON:0012068	right lung middle lobe bronchiole
UBERON:0012069	epithelium-associated lymphoid tissue
UBERON:0012070	palatal tooth
UBERON:0012071	palate bone
UBERON:0012072	palatal part of dermatocranium
UBERON:0012073	tooth of palatine bone
UBERON:0012074	bony part of hard palate
UBERON:0012075	replacement bone
UBERON:0012076	tibiotalar joint
UBERON:0012078	fovea capitis of femur
UBERON:0012079	metapterygial axis
UBERON:0012080	patella cartilage element
UBERON:0012081	patella pre-cartilage condensation
UBERON:0012082	bronchial lumen
UBERON:0012083	lumen of primary bronchus
UBERON:0012084	lumen of secondary bronchus
UBERON:0012085	lumen of tertiary bronchus
UBERON:0012086	lumen of parabronchus
UBERON:0012087	air capillary of parabronchus
UBERON:0012088	lateroobronchus
UBERON:0012100	appendicocostalis muscle
UBERON:0012101	perinatal stage
UBERON:0012102	buccal salivary gland
UBERON:0012103	suspensory ligament of breast
UBERON:0012104	sesamoid bone of the peroneus longus muscle
UBERON:0012105	baleen plate
UBERON:0012106	baleen plate bristle
UBERON:0012108	postorbital bar
UBERON:0012109	zygomatic process of frontal bone
UBERON:0012110	frontal process of zygomatic bone
UBERON:0012111	diastema
UBERON:0012112	ingested food
UBERON:0012113	bolus of food
UBERON:0012114	cud
UBERON:0012115	dental comb
UBERON:0012116	nutrient foramen conduit
UBERON:0012117	lumen of nutrient foramen
UBERON:0012118	infraspinatus tendon
UBERON:0012119	vinculum tendon of wing
UBERON:0012120	vinculum of tendon
UBERON:0012121	respiratory velum
UBERON:0012124	avian scapholunar bone
UBERON:0012125	dermatological-muscosal system
UBERON:0012126	fibulare
UBERON:0012127	feather barbicel
UBERON:0012128	nose tip
UBERON:0012129	radial head of humerus
UBERON:0012130	olecranon fossa
UBERON:0012131	centrale
UBERON:0012132	intercuneiform joint
UBERON:0012133	lateral-intermediate intercuneiform joint
UBERON:0012134	medial-intermediate intercuneiform joint
UBERON:0012135	prepollex skeleton
UBERON:0012136	prehallux
UBERON:0012137	pedal digit 7
UBERON:0012138	pedal digit 8
UBERON:0012139	segment of autopod
UBERON:0012140	digitopodium region
UBERON:0012141	manual digitopodium region
UBERON:0012142	pedal digitopodium region
UBERON:0012150	skeleton of digitopodium
UBERON:0012151	skeleton of manual digitopodium
UBERON:0012152	skeleton of pedal digitopodium
UBERON:0012167	buccal fat pad
UBERON:0012168	umbilical cord blood
UBERON:0012170	core of nucleus accumbens
UBERON:0012171	shell of nucleus accumbens
UBERON:0012172	stomach primordium
UBERON:0012173	middle suprarenal artery
UBERON:0012175	acoustico-facial VII-VIII ganglion complex
UBERON:0012176	comb
UBERON:0012177	skin apocrine gland
UBERON:0012179	bone of pelvis
UBERON:0012180	head or neck skin
UBERON:0012181	tonsil crypt
UBERON:0012186	ovary growing follicle
UBERON:0012187	frontal artery
UBERON:0012193	phrenic vein
UBERON:0012194	superior intercostal vein
UBERON:0012195	left superior intercostal vein
UBERON:0012196	right superior intercostal vein
UBERON:0012197	intercostal vein
UBERON:0012198	intercostal space
UBERON:0012199	posterior intercostal vein
UBERON:0012200	anterior intercostal vein
UBERON:0012236	intercostal lymph node
UBERON:0012237	superior phrenic vein
UBERON:0012238	ureteric bud trunk
UBERON:0012239	urinary bladder vasculature
UBERON:0012240	urethral meatus
UBERON:0012241	male urethral meatus
UBERON:0012242	internal urethral orifice
UBERON:0012243	nuptial pad
UBERON:0012244	stratum intermedium of epidermis
UBERON:0012245	silk
UBERON:0012246	thyroid follicular lumen
UBERON:0012247	cervical gland
UBERON:0012248	cervical mucosa
UBERON:0012249	ectocervix
UBERON:0012250	cervix glandular epithelium
UBERON:0012251	ectocervical epithelium
UBERON:0012252	endocervical epithelium
UBERON:0012253	cervical squamo-columnar junction
UBERON:0012254	abdominal aorta artery
UBERON:0012255	inferior phrenic artery
UBERON:0012256	digestive syncytial vacuole
UBERON:0012260	alular digit
UBERON:0012261	manual major digit (Aves)
UBERON:0012262	manual minor digit (Aves)
UBERON:0012267	equine splint bone
UBERON:0012268	equine forelimb splint bone
UBERON:0012269	equine hindlimb splint bone
UBERON:0012270	forestomach-glandular stomach junction
UBERON:0012271	major duodenal papilla
UBERON:0012272	minor duodenal papilla
UBERON:0012273	periampullary region of duodenum
UBERON:0012274	columnar epithelium
UBERON:0012275	meso-epithelium
UBERON:0012276	endometrium glandular epithelium
UBERON:0012278	gland of nasal mucosa
UBERON:0012279	chromaffin paraganglion
UBERON:0012281	perianal sebaceous gland
UBERON:0012282	mammary fat pad
UBERON:0012283	femoral fat pad
UBERON:0012284	animal hemisphere
UBERON:0012285	vegetal hemisphere
UBERON:0012286	hemisphere of embryo
UBERON:0012287	Rathkes pouch epithelium
UBERON:0012288	centroquartal bone
UBERON:0012289	fused tarsal bones 2 and 3
UBERON:0012290	fused carpal bones 2 and 3
UBERON:0012291	lateral malleolus of fibula
UBERON:0012292	embryonic cloacal fold
UBERON:0012293	anal fold
UBERON:0012294	navicular fossa of spongiose part of urethra
UBERON:0012295	Guérin's valve
UBERON:0012296	urethral crest
UBERON:0012297	male urethral crest
UBERON:0012298	female urethral crest
UBERON:0012299	mucosa of urethra
UBERON:0012300	limb paddle
UBERON:0012301	female membranous urethra
UBERON:0012302	male membranous urethra
UBERON:0012303	ureteral orifice
UBERON:0012304	nasal diverticulum
UBERON:0012305	marginal cutaneous pouch of ear
UBERON:0012306	lateral cervical lymph node
UBERON:0012307	anterior cervical lymph node
UBERON:0012308	superficial lateral cervical lymph node
UBERON:0012309	superficial anterior cervical lymph node
UBERON:0012310	deep lateral cervical lymph node
UBERON:0012311	deep anterior cervical lymph node
UBERON:0012312	maxillary process ectoderm
UBERON:0012313	1st arch maxillary ectoderm
UBERON:0012314	embryonic facial prominence
UBERON:0012315	incisive foramen
UBERON:0012316	primitive palate
UBERON:0012317	vagina orifice
UBERON:0012318	anterior ethmoidal artery
UBERON:0012319	posterior ethmoidal artery
UBERON:0012320	cervical artery
UBERON:0012321	deep cervical artery
UBERON:0012322	ascending cervical artery
UBERON:0012324	transverse cervical artery
UBERON:0012325	retrocerebral complex
UBERON:0012326	gubernacular bulb
UBERON:0012327	pearly penile papule
UBERON:0012328	penile spine
UBERON:0012329	keratinized stratified squamous epithelium
UBERON:0012330	nasal-associated lymphoid tissue
UBERON:0012331	mesosalpinx
UBERON:0012332	broad ligament of uterus
UBERON:0012333	ovarian bursa
UBERON:0012334	navicular bursa
UBERON:0012335	navicular bursa of manus
UBERON:0012336	perianal skin
UBERON:0012337	cauda equina
UBERON:0012343	navicular bursa of pes
UBERON:0012344	holocrine gland
UBERON:0012348	autopod pad
UBERON:0012349	digital pad
UBERON:0012350	carpal pad
UBERON:0012351	urachal lumen
UBERON:0012352	mesangial matrix
UBERON:0012353	fin skeleton
UBERON:0012354	acropodium region
UBERON:0012355	manual acropodium region
UBERON:0012356	pedal acropodium region
UBERON:0012357	digitopodium bone
UBERON:0012358	manual digitopodium bone
UBERON:0012359	pedal digitopodium bone
UBERON:0012360	bone of jaw
UBERON:0012361	internal anal region
UBERON:0012363	thyroid follicle epithelium
UBERON:0012364	colloid of thyroid follicle
UBERON:0012367	muscle layer of intestine
UBERON:0012368	circular muscle layer of muscular coat
UBERON:0012369	longitudinal muscle layer of muscular coat
UBERON:0012373	sympathetic nerve plexus
UBERON:0012374	subserosal plexus
UBERON:0012375	subserosa
UBERON:0012376	retromolar triangle
UBERON:0012377	muscle layer of jejunum
UBERON:0012378	muscle layer of urinary bladder
UBERON:0012398	large intestine smooth muscle circular layer
UBERON:0012399	large intestine smooth muscle longitudinal layer
UBERON:0012401	small intestine smooth muscle circular layer
UBERON:0012402	small intestine smooth muscle longitudinal layer
UBERON:0012416	respiratory system arterial smooth muscle
UBERON:0012418	respiratory system venous smooth muscle
UBERON:0012419	taenia coli
UBERON:0012420	coprodeum
UBERON:0012421	urodeum
UBERON:0012422	secretion of crop
UBERON:0012423	layer of microvilli
UBERON:0012424	brush border layer
UBERON:0012425	striated border microvillus layer
UBERON:0012426	short microvillus layer
UBERON:0012427	intestinal brush border layer
UBERON:0012428	proximal convoluted tubule brush border
UBERON:0012429	hematopoietic tissue
UBERON:0012430	tunica fibrosa of eyeball
UBERON:0012437	epithelial-mesenchymal boundary
UBERON:0012438	blastema of regenerating fin/limb
UBERON:0012439	blastema of regenerating digit tip
UBERON:0012441	endothelium of peritubular capillary
UBERON:0012442	epiploic foramen
UBERON:0012443	row of scales
UBERON:0012444	gastropege
UBERON:0012447	podotheca
UBERON:0012448	Herbst's corpuscle
UBERON:0012449	mechanoreceptor
UBERON:0012450	Meissner's corpuscle
UBERON:0012451	sensory receptor
UBERON:0012453	nerve ending
UBERON:0012456	Merkel nerve ending
UBERON:0012457	Ruffini nerve ending
UBERON:0012458	antler velvet
UBERON:0012459	antler pedicle
UBERON:0012462	proctodeum portion of cloaca
UBERON:0012463	cloacal lumen
UBERON:0012464	cloacal vent
UBERON:0012465	lumen of terminal part of digestive tract
UBERON:0012466	extraembryonic cavity
UBERON:0012467	enclosed anatomical space
UBERON:0012468	anal tooth
UBERON:0012469	external anal region
UBERON:0012470	wheel papilla
UBERON:0012471	hepatogastric ligament
UBERON:0012472	hepatoduodenal ligament
UBERON:0012473	oral cirrus
UBERON:0012474	hepatic cecum
UBERON:0012475	skeleton of pectoral complex
UBERON:0012476	skeleton of pelvic complex
UBERON:0012477	dorsal part of neck
UBERON:0012478	cloacal gland
UBERON:0012479	urodeal gland
UBERON:0012480	cloacal mucosa
UBERON:0012481	cloacal epithelium
UBERON:0012482	submucosa of cloaca
UBERON:0012483	serosa of cloaca
UBERON:0012485	cloacal villus
UBERON:0012486	muscle layer of cloaca
UBERON:0012487	vaginal sphincter
UBERON:0012488	muscle layer of duodenum
UBERON:0012489	muscle layer of colon
UBERON:0012490	muscle layer of anal canal
UBERON:0012494	muscularis mucosae of duodenum
UBERON:0012497	muscularis mucosae of rectum
UBERON:0012498	serosa of appendix
UBERON:0012499	serosa of uterine tube
UBERON:0012503	serosa of fundus of stomach
UBERON:0012504	adventitia of esophagus
UBERON:0012520	forelimb epitrochlearis muscle
UBERON:0012615	umbilical smooth muscle
UBERON:0012621	muscle of Aristotle's lantern
UBERON:0012641	body of tubeworm
UBERON:0012642	vestimentum muscle
UBERON:0012643	plume
UBERON:0012644	trophosome
UBERON:0012645	opisthosome
UBERON:0012646	tubeworm tube
UBERON:0012648	ampulla of uterine tube
UBERON:0012649	anococcygeus muscle
UBERON:0012650	gastroduodenal junction
UBERON:0012651	mucosa of gastroduodenal junction
UBERON:0012652	colorectum
UBERON:0012925	bronchial bud
UBERON:0013067	colorectal mucosa
UBERON:0013068	palatine torus
UBERON:0013069	popliteal area
UBERON:0013070	prepatagium
UBERON:0013073	rattle
UBERON:0013074	cornual diverticulum
UBERON:0013075	venom gland duct
UBERON:0013076	snake venom
UBERON:0013078	venom-injecting tooth
UBERON:0013106	elapid venom
UBERON:0013110	hydrophid venom
UBERON:0013112	viper venom
UBERON:0013113	angular/surangular bone
UBERON:0013114	compressor glandulae muscle
UBERON:0013115	pterygoideus glandulae muscle
UBERON:0013116	venom gland musculature
UBERON:0013118	sulcus of brain
UBERON:0013119	haemal node
UBERON:0013120	eyelid submuscular connective tissue
UBERON:0013121	proximal epiphysis of phalanx of pes
UBERON:0013122	distal epiphysis of phalanx of pes
UBERON:0013124	left posterior cardinal vein
UBERON:0013125	left subcardinal vein
UBERON:0013126	vein of abdomen
UBERON:0013127	pulmonary venous system
UBERON:0013128	bulb of penis
UBERON:0013129	bulb of vestibule
UBERON:0013131	lobe of tail
UBERON:0013132	penicillar arteriole
UBERON:0013133	superior phrenic artery
UBERON:0013135	interdental plate
UBERON:0013136	vein of lip
UBERON:0013137	external pudendal artery
UBERON:0013138	coronary ligament of liver
UBERON:0013139	ligament of liver
UBERON:0013140	systemic vein
UBERON:0013141	capillary bed
UBERON:0013142	soleal vein
UBERON:0013143	gastrocnemius vein
UBERON:0013144	vein of genicular venous plexus
UBERON:0013145	accessory saphenous vein
UBERON:0013146	venous system of brain
UBERON:0013147	early mesencephalic vesicle
UBERON:0013148	early midbrain vesicle
UBERON:0013149	hindbrain vesicle
UBERON:0013150	future brain vesicle
UBERON:0013151	choroidal artery
UBERON:0013152	interventricular foramen of heart
UBERON:0013153	arachnoid villus
UBERON:0013154	1st arch maxillary endoderm
UBERON:0013155	1st arch mandibular ectoderm
UBERON:0013156	1st arch mandibular endoderm
UBERON:0013157	1st arch maxillary-mandibular cleft
UBERON:0013158	foregut-midgut junction gland
UBERON:0013159	epithalamus mantle layer
UBERON:0013160	epithalamus ventricular layer
UBERON:0013161	left lateral ventricle
UBERON:0013162	right lateral ventricle
UBERON:0013164	molariform tooth
UBERON:0013165	epiglottic vallecula
UBERON:0013166	vallecula of cerebellum
UBERON:0013167	cricopharyngeal ligament
UBERON:0013168	thyroepiglottic ligament
UBERON:0013169	vestibular ligament
UBERON:0013170	cricoarytenoid ligament
UBERON:0013171	cricothyroid ligament
UBERON:0013172	cricotracheal ligament
UBERON:0013173	anterior part of tympanic bone
UBERON:0013174	sigmoid process of tympanic bone
UBERON:0013175	nasal air sac
UBERON:0013176	phonic lip
UBERON:0013177	dorsal bursa
UBERON:0013178	anterior dorsal bursa
UBERON:0013179	posterior dorsal bursa
UBERON:0013180	bursal cartilage
UBERON:0013181	blowhole ligament
UBERON:0013182	core of melon organ
UBERON:0013188	monkey lips dorsal bursa complex
UBERON:0013189	junk chamber
UBERON:0013190	entotympanic bone
UBERON:0013191	ovarian cortex
UBERON:0013192	ovarian medulla
UBERON:0013193	parakeratinized epithelium
UBERON:0013194	orthokeratinized epithelium
UBERON:0013195	parakeratinized epithelium of gingiva
UBERON:0013196	strand of wool
UBERON:0013198	cocoon
UBERON:0013199	stria of neuraxis
UBERON:0013201	olfactory pathway
UBERON:0013203	hypogastrium
UBERON:0013204	epipubic bone
UBERON:0013206	nasal tentacle
UBERON:0013207	entepicondylar foramen
UBERON:0013208	Grueneberg ganglion
UBERON:0013211	cerumen gland
UBERON:0013212	anal sac gland secretion
UBERON:0013213	ossicone
UBERON:0013216	udder
UBERON:0013217	zygomatic plate
UBERON:0013218	rete mirabile
UBERON:0013219	parotoid gland
UBERON:0013220	foramen of Panizza
UBERON:0013221	caudofemoralis
UBERON:0013222	otic notch
UBERON:0013223	alveolar gland
UBERON:0013224	Ciaccio's gland
UBERON:0013226	accessory lacrimal gland
UBERON:0013227	crypt of Henle
UBERON:0013228	sweat gland of eyelid
UBERON:0013229	eyelid gland
UBERON:0013230	nictitans gland
UBERON:0013231	sebaceous gland of eyelid
UBERON:0013232	serous acinus
UBERON:0013233	supraorbital gland
UBERON:0013234	violet gland
UBERON:0013235	ventrum
UBERON:0013236	ventral trunk
UBERON:0013237	genital papilla of vulva
UBERON:0013238	future glans
UBERON:0013239	future glans penis
UBERON:0013240	future glans clitoris
UBERON:0013241	embryonic urethral groove
UBERON:0013244	vaginal plate
UBERON:0013245	sinovaginal bulb
UBERON:0013247	male paramesonephric duct
UBERON:0013248	paradidymis
UBERON:0013249	paroophoron
UBERON:0013250	vesicular appendage of epoophoron
UBERON:0013262	remnnant of ductus deferens
UBERON:0013277	remnant of processus vaginalis
UBERON:0013278	canal of Nuck
UBERON:0013279	diaphysis of fibula
UBERON:0013280	diaphysis of tibia
UBERON:0013397	stratum argenteum of choroid
UBERON:0013398	choroidal gland
UBERON:0013399	blood vessel layer of choroid
UBERON:0013403	asterion of skull
UBERON:0013406	bregma
UBERON:0013411	cranial cavity
UBERON:0013412	crotaphion
UBERON:0013417	epicranium
UBERON:0013420	groove for sigmoid sinus
UBERON:0013422	infratemporal fossa
UBERON:0013423	jugal point
UBERON:0013424	anatomical point connecting sagittal and lambdoidal sutures
UBERON:0013426	obelion
UBERON:0013427	occipital bun
UBERON:0013428	ophryon
UBERON:0013436	porion
UBERON:0013442	postorbital process
UBERON:0013445	pterygomaxillary fissure
UBERON:0013447	sagittal crest
UBERON:0013448	sagittal keel
UBERON:0013450	simian shelf
UBERON:0013454	spheno-maxillary fossa
UBERON:0013455	spheno-petrosal fissure
UBERON:0013459	stephanion
UBERON:0013460	suprainiac fossa
UBERON:0013462	sylvian point
UBERON:0013463	temporal fossa
UBERON:0013468	zygomatic fossa
UBERON:0013469	external occipital protuberance
UBERON:0013471	retromolar space
UBERON:0013472	upper esophagus
UBERON:0013473	lower esophagus
UBERON:0013474	middle part of esophagus
UBERON:0013475	gustatory gland
UBERON:0013476	dermal layer of tongue
UBERON:0013477	blowhole
UBERON:0013478	cecal tonsil
UBERON:0013479	lung endothelium
UBERON:0013481	crypt of Lieberkuhn of ileum
UBERON:0013482	crypt of Lieberkuhn of duodenum
UBERON:0013483	crypt of Lieberkuhn of jejunum
UBERON:0013485	crypt of Lieberkuhn of colon
UBERON:0013486	crypt of Lieberkuhn of appendix
UBERON:0013487	epidermal ridge of digit
UBERON:0013488	panniculus adiposus
UBERON:0013489	superficial cervical fascia
UBERON:0013490	deep cervical fascia
UBERON:0013491	cervical fascia
UBERON:0013492	prevertebral cervical fascia
UBERON:0013493	abdominal fascia
UBERON:0013494	keratin-coated spine
UBERON:0013495	barbed keratin-coated spine
UBERON:0013496	unbarbed keratin-coated spine
UBERON:0013497	muscularis orbicularis
UBERON:0013498	vestibulo-cochlear VIII ganglion complex
UBERON:0013499	glossopharyngeal-vagus IX-X preganglion complex
UBERON:0013500	glossopharyngeal-vagus IX-X ganglion complex
UBERON:0013501	cloacal sphincter
UBERON:0013502	5th arch mesenchyme
UBERON:0013503	caudal vertebra cartilage element
UBERON:0013504	caudal vertebra pre-cartilage condensation
UBERON:0013505	cervical vertebra cartilage element
UBERON:0013506	cervical vertebra pre-cartilage condensation
UBERON:0013507	thoracic vertebra cartilage element
UBERON:0013508	thoracic vertebra pre-cartilage condensation
UBERON:0013509	lumbar vertebra cartilage element
UBERON:0013510	lumbar vertebra pre-cartilage condensation
UBERON:0013511	ambiens muscle
UBERON:0013512	row of feathers
UBERON:0013513	anal pterya
UBERON:0013514	space surrounding organism
UBERON:0013515	subdivision of oviduct
UBERON:0013516	uterine tube magnum
UBERON:0013519	avian uterine tube isthmus
UBERON:0013522	subdivision of tube
UBERON:0013523	lateral vaginal canal
UBERON:0013524	median vaginal canal
UBERON:0013525	stomach lumen
UBERON:0013526	otocyst lumen
UBERON:0013527	pectoral flipper tubercle
UBERON:0013528	Brodmann (1909) area 11
UBERON:0013529	Brodmann area
UBERON:0013531	retrosplenial region
UBERON:0013533	Brodmann (1909) area 2
UBERON:0013535	Brodmann (1909) area 4
UBERON:0013538	Brodmann (1909) area 7
UBERON:0013539	Brodmann (1909) area 8
UBERON:0013540	Brodmann (1909) area 9
UBERON:0013541	Brodmann (1909) area 10
UBERON:0013543	Brodmann (1909) area 12
UBERON:0013544	Brodmann (1909) area 13
UBERON:0013545	Brodmann (1909) area 14
UBERON:0013546	Brodmann (1909) area 15
UBERON:0013547	Brodmann (1909) area 16
UBERON:0013550	Brodmann (1909) area 19
UBERON:0013551	Brodmann (1909) area 20
UBERON:0013552	Brodmann (1909) area 21
UBERON:0013553	Brodmann (1909) area 22
UBERON:0013554	Brodmann (1909) area 23
UBERON:0013556	Brodmann (1909) area 25
UBERON:0013558	Brodmann (1909) area 27
UBERON:0013559	Brodmann (1909) area 28
UBERON:0013560	Brodmann (1909) area 32
UBERON:0013561	Brodmann (1909) area 43
UBERON:0013562	Brodmann (1909) area 8a
UBERON:0013573	Brodmann (1909) area 40
UBERON:0013581	metapodium bone 1
UBERON:0013582	metapodium bone 2
UBERON:0013583	metapodium bone 3
UBERON:0013584	metapodium bone 4
UBERON:0013585	metapodium bone 5
UBERON:0013586	fused metapodial bones 3 and 4
UBERON:0013587	fused metacarpal bones 3 and 4
UBERON:0013588	fused metatarsal bones 3 and 4
UBERON:0013589	koniocortex
UBERON:0013590	cruciate sulcus
UBERON:0013591	postsylvian sulcus
UBERON:0013592	presylvian sulcus
UBERON:0013593	suprasylvian sulcus
UBERON:0013594	ectosylvian sulcus
UBERON:0013595	postlateral sulcus
UBERON:0013596	brain coronal sulcus
UBERON:0013598	accessory nucleus of optic tract
UBERON:0013599	dorsal accessory nucleus of optic tract
UBERON:0013600	lateral accessory nucleus of optic tract
UBERON:0013601	medial accessory nucleus of optic tract
UBERON:0013605	layer of lateral geniculate body
UBERON:0013606	magnocellular layer of dorsal nucleus of lateral geniculate body
UBERON:0013607	parvocellular layer of dorsal nucleus of lateral geniculate body
UBERON:0013608	inferior olive dorsal accessory nucleus
UBERON:0013609	inferior olive medial accessory nucleus
UBERON:0013610	inferior olive ventral accessory nucleus
UBERON:0013612	lower jaw cingulum
UBERON:0013613	upper jaw cingulum
UBERON:0013614	fasciculus aberans
UBERON:0013615	koniocellular layer of dorsal nucleus of lateral geniculate body
UBERON:0013616	primary molar tooth
UBERON:0013617	upper primary molar tooth
UBERON:0013618	secondary molar tooth
UBERON:0013619	upper secondary molar tooth
UBERON:0013620	lower primary molar tooth
UBERON:0013621	lower secondary molar tooth
UBERON:0013622	manual autopod pad
UBERON:0013623	pedal autopod pad
UBERON:0013626	medial metatarsal pad
UBERON:0013627	lateral metatarsal pad
UBERON:0013628	pollical pad
UBERON:0013629	hallical pad
UBERON:0013630	short bone
UBERON:0013631	sesamoid element
UBERON:0013632	sesamoid cartilage
UBERON:0013633	intertrochanteric crest
UBERON:0013634	intertrochanteric line
UBERON:0013635	sphincter colli muscle
UBERON:0013636	epithelium of intestinal villus
UBERON:0013637	prostate gland lateral lobe
UBERON:0013638	horny papilla of tongue
UBERON:0013639	mechanical papilla of tongue
UBERON:0013640	internal cheek pouch
UBERON:0013641	external cheek pouch
UBERON:0013642	ring of oral cilia
UBERON:0013643	lophophore
UBERON:0013644	duodenal ampulla
UBERON:0013645	gular gland
UBERON:0013646	buccal nerve
UBERON:0013647	lateral pterygoid nerve
UBERON:0013648	masseteric artery
UBERON:0013649	fused tarsal bones 1 and 2
UBERON:0013653	velar skeleton
UBERON:0013655	elastica externa of notochord
UBERON:0013656	dulla
UBERON:0013657	hump
UBERON:0013658	corpus cavernosum maxillaris
UBERON:0013659	spongiose tissue of corpus cavernosum maxillaris
UBERON:0013670	midline of corpus cavernosum maxillaris
UBERON:0013671	nerve ending of of corpus cavernosum maxillaris
UBERON:0013672	priapium
UBERON:0013673	os priapium
UBERON:0013674	ctenactinium
UBERON:0013675	toxactinium
UBERON:0013676	aproctal bone of priapium
UBERON:0013677	serrated projection of ctenactinium
UBERON:0013678	anatomical line between inner canthi
UBERON:0013679	inner canthus of right eye
UBERON:0013680	inner canthus of left eye
UBERON:0013682	peripheral region of retina
UBERON:0013683	left dorsal thalamus
UBERON:0013684	right dorsal thalamus
UBERON:0013685	foramen of skull
UBERON:0013686	anatomical conduit space
UBERON:0013687	pericranium
UBERON:0013688	tonsil germinal center
UBERON:0013689	appendix lymphoid tissue
UBERON:0013691	buttock
UBERON:0013692	inframammary fold
UBERON:0013693	cerebral cortex neuropil
UBERON:0013694	brain endothelium
UBERON:0013695	colon endothelium
UBERON:0013696	tonsil epithelium
UBERON:0013697	exocrine pancreas epithelium
UBERON:0013698	strand of pubic hair
UBERON:0013699	strand of axillary hair
UBERON:0013700	axial musculature
UBERON:0013701	main body axis
UBERON:0013702	body proper
UBERON:0013703	integumentary projection
UBERON:0013704	notochordal canal
UBERON:0013705	fascia of Scarpa
UBERON:0013706	bone spine
UBERON:0013707	iliac spine
